contrast,homogeneity,entropy,energy,correlation,dissimilarity
195.56940914158304,0.9705143065831199,1.0648797320834074,0.7080616034825205,0.9810386286815559,2.013333333333333
34.54306995530481,0.47448880486723644,6.63922774636565,0.06524679153212204,0.9931817345969741,2.17438223549238
315.8445876672471,0.4762528310099382,7.700565308399024,0.11756839746119195,0.975174875411674,6.937172092650293
68.9686029905914,0.9930677299783889,1.2706030230207601,0.7069885407356062,0.9910347307797345,0.504900950024438
1001.2396267619615,0.7748319239380328,2.774539714531951,0.5054287860614544,0.9546964765774502,10.149692277149096
80.43356511180352,0.443844237016966,7.837135992215841,0.0329612891684432,0.9886199525451664,3.448159136730206
114.37048220401174,0.9273972647450685,4.428610465037086,0.2376921385644403,0.9848362117151362,1.3169184197651662
13.547565180535193,0.6960763319211347,6.118476335947759,0.07872054490088938,0.9907449742303922,1.3409606396627562
175.95780019685037,0.9702866000609268,0.9322638834197496,0.7657662035799628,0.9799172279568824,1.8826279527559056
93.48570791527314,0.9436517593186462,0.6210260997305929,0.9394859229708336,0.2508820202080469,1.5900557413600893
155.63243309002434,0.9801210812806919,1.0339454652324211,0.7174834092383656,0.9371037687469785,1.1610462287104624
425.16604761904756,0.9024454982189025,1.5888158210358028,0.6512584451339396,0.939373739752293,4.298714285714285
77.93199348180337,0.6926108077847526,5.028002744284412,0.17972649664846876,0.992163190257684,2.241510620658109
237.44003448038856,0.4503182772506935,7.539156931965366,0.15401376974748926,0.9850736418673842,6.81884049670088
367.109375,0.9772405843149411,0.8016117857888985,0.6912937937944125,0.9544665185998811,2.890625
42.7696459148728,0.9936336200293572,0.8440532281458313,0.7060429154363304,0.9924846584723787,0.479069838551859
